Pile ID	Distribution Type	X-Position	Y-Position	Collection Time	Ant ID
0	0	-4.44301	4.65701	57248	18
0	0	-1.0126	3.1357	30152	7
0	0	5.76939	7.17041	-1	-1
0	0	-4.45119	4.19498	-1	-1
0	0	3.63241	-8.51886	-1	-1
0	0	-9.85304	-4.99012	16840	17
0	0	0.801379	-6.9297	43744	5
0	0	-6.69453	9.2823	44840	12
0	0	-9.38628	-9.64256	50984	19
0	0	-2.45109	-7.32147	1560	13
0	0	9.30722	1.94128	29768	18
0	0	4.70835	5.18458	-1	-1
0	0	-0.524191	-3.53419	648	5
0	0	9.31276	-8.87878	53072	4
0	0	-8.77658	0.125023	22176	3
0	0	8.11965	-4.2205	9784	1
0	0	-2.36725	8.94397	53208	10
0	0	-7.0754	-6.13694	16208	13
0	0	-6.25654	2.29016	-1	-1
0	0	9.50332	-1.82464	18704	7
0	0	-6.91308	-1.11232	13256	10
0	0	7.8001	0.110842	-1	-1
0	0	7.62627	-5.09919	-1	-1
0	0	7.11887	-3.9056	38704	17
0	0	1.83482	-4.62223	34688	19
0	0	-6.80224	-4.71253	19424	12
0	0	4.59139	-9.76101	18208	9
0	0	4.585	0.836387	2256	16
0	0	-1.65165	0.912451	31736	19
0	0	-8.28434	-7.71942	2664	15
0	0	-3.72624	8.36309	13056	3
0	0	7.65945	-4.15468	-1	-1
0	0	-6.76152	4.88944	-1	-1
0	0	-9.60088	-1.0282	54552	2
0	0	0.180043	-3.91982	-1	-1
0	0	0.114144	3.78642	-1	-1
0	0	-4.99888	-8.83427	-1	-1
0	0	7.48201	0.129595	-1	-1
0	0	-9.55723	-9.61396	30816	11
0	0	-6.47287	6.10165	-1	-1
0	0	-6.39864	0.200122	-1	-1
0	0	-5.36194	-3.83265	-1	-1
0	0	-2.89805	-3.56188	-1	-1
0	0	-6.58022	-6.18847	3904	8
0	0	-4.11208	-2.12455	-1	-1
0	0	-6.42678	6.3515	-1	-1
0	0	5.54442	7.30785	47624	3
0	0	9.03165	5.61694	-1	-1
0	0	0.878807	-5.46075	-1	-1
0	0	5.50864	-6.54627	-1	-1
0	0	5.11801	8.34155	21720	1
0	0	-2.59256	-3.27806	-1	-1
0	0	-7.01316	-8.51649	-1	-1
0	0	6.12685	2.36465	-1	-1
0	0	-4.5259	-4.86533	1288	16
0	0	-8.78688	1.23508	34688	3
0	0	7.32754	-0.25894	31056	16
0	0	-2.78395	-4.82383	13728	5
0	0	9.74711	-8.79731	6832	1
0	0	-2.24527	5.85806	13040	2
0	0	-1.20938	-2.37891	38328	11
0	0	4.69834	-3.29135	20240	17
0	0	3.31814	-5.35246	-1	-1
0	0	2.48581	0.334862	50560	14
0	0	-1.10981	9.4389	-1	-1
0	0	3.41707	4.67229	1184	3
0	0	6.35365	5.4712	-1	-1
0	0	1.69229	-9.35667	-1	-1
0	0	1.69961	-6.2525	-1	-1
0	0	-8.52602	1.30038	44480	9
0	0	7.95506	-5.64444	44056	8
0	0	5.9336	-3.89255	-1	-1
0	0	-9.48292	4.99979	39560	9
0	0	-4.80957	-7.28061	21280	18
0	0	-8.73195	-8.0956	-1	-1
0	0	-1.85923	-4.99456	-1	-1
0	0	-5.30644	-1.82742	1080	4
0	0	7.34797	-6.7981	2120	7
0	0	-7.89711	5.02095	-1	-1
0	0	-2.52021	2.64257	-1	-1
0	0	-6.97137	1.42724	28800	19
0	0	7.76186	-3.10772	-1	-1
0	0	-1.08352	-9.47061	29408	13
0	0	0.32875	5.17206	-1	-1
0	0	2.22008	4.57579	19272	9
0	0	5.00619	7.2002	-1	-1
0	0	-1.37984	7.99473	-1	-1
0	0	-1.23185	-6.77079	-1	-1
0	0	9.13724	-0.0653246	17272	2
0	0	0.556412	-3.46964	-1	-1
0	0	-2.87254	5.40115	-1	-1
0	0	6.65391	5.49131	27552	1
0	0	6.23596	3.27421	11776	10
0	0	8.0545	-0.350657	27400	2
0	0	3.54591	0.411751	-1	-1
0	0	-6.23338	-2.53398	-1	-1
0	0	2.17132	1.33164	-1	-1
0	0	5.41165	1.56788	47904	5
0	0	7.96214	-3.22149	37416	1
0	0	-0.00870287	-5.86479	54640	0
0	0	-7.40323	-0.680348	41032	10
0	0	2.57388	-6.91309	-1	-1
0	0	9.56667	-6.82407	8128	2
0	0	1.27973	6.07491	-1	-1
0	0	6.58456	-1.07804	10128	17
0	0	4.84795	6.61013	-1	-1
0	0	2.45105	-3.46567	-1	-1
0	0	-7.26272	2.21347	39008	6
0	0	-1.9357	-7.80582	-1	-1
0	0	6.81776	-1.75322	-1	-1
0	0	3.46335	6.80494	-1	-1
0	0	-1.75575	-2.53928	2752	7
0	0	4.64087	-2.78164	-1	-1
0	0	8.63533	9.13794	53496	18
0	0	-2.5498	-3.61418	-1	-1
0	0	8.48973	5.8478	-1	-1
0	0	5.27657	-0.352483	-1	-1
0	0	-8.62236	-7.21707	13712	18
0	0	-3.76627	4.02147	-1	-1
0	0	-8.7763	-5.37535	-1	-1
0	0	4.3958	5.93754	31376	19
0	0	-6.5284	7.97519	19760	19
0	0	-3.53702	0.80861	-1	-1
0	0	-6.27202	4.7974	29296	10
0	0	-1.07341	0.609199	27672	2
0	0	0.0438013	-5.11204	-1	-1
0	0	-3.39901	-8.78973	-1	-1
0	0	-4.43594	-4.20435	-1	-1
0	0	3.79496	0.553944	-1	-1
0	0	7.11564	-1.43877	-1	-1
0	0	-0.927516	-2.84556	47112	18
0	0	7.16122	5.40158	-1	-1
0	0	-1.05877	-3.7209	-1	-1
0	0	6.37392	-4.20221	-1	-1
0	0	3.59484	1.8756	-1	-1
0	0	-3.08755	-8.00237	-1	-1
0	0	3.70364	-2.96432	-1	-1
0	0	0.329898	6.22429	-1	-1
0	0	9.69498	-3.77783	3984	12
0	0	4.5345	-4.54161	-1	-1
0	0	5.63213	-4.83419	-1	-1
0	0	9.00425	-1.77008	3688	13
0	0	7.3139	2.99845	-1	-1
0	0	2.32853	6.30467	-1	-1
0	0	-0.330911	-1.118	13288	3
0	0	-2.38016	-4.72688	-1	-1
0	0	3.44895	-1.74175	-1	-1
0	0	-9.71442	-2.89827	30216	8
0	0	7.43032	8.48907	-1	-1
0	0	8.59416	-6.6141	2696	2
0	0	-4.53738	-1.2525	1432	0
0	0	5.77386	-4.15396	-1	-1
0	0	-2.02386	-0.347467	42184	6
0	0	6.23549	-0.447762	-1	-1
0	0	0.184415	1.97163	38760	11
0	0	9.01855	1.81228	51800	0
0	0	3.19913	0.717778	16776	19
0	0	1.56421	6.68561	29464	7
0	0	-5.07217	-1.55322	2160	4
0	0	-7.52357	2.4619	-1	-1
0	0	-6.30735	5.10109	30600	0
0	0	4.49477	2.15223	-1	-1
0	0	-4.36952	-4.3443	-1	-1
0	0	4.01356	4.67123	-1	-1
0	0	-4.11958	-4.58223	26304	16
0	0	-5.31954	-6.00118	41392	3
0	0	-4.25452	4.6456	-1	-1
0	0	-4.79711	8.40102	-1	-1
0	0	6.51125	-4.7307	-1	-1
0	0	9.12465	8.25238	-1	-1
0	0	-9.84777	2.09852	43560	16
0	0	-6.12019	4.48124	-1	-1
0	0	7.34972	-5.01654	-1	-1
0	0	-7.86484	8.45201	-1	-1
0	0	4.3554	-6.72075	-1	-1
0	0	7.02162	4.9884	57072	14
0	0	-2.034	-7.53014	8536	7
0	0	7.14641	-8.81583	15840	10
0	0	-9.23303	3.61597	24968	6
0	0	-8.47527	-3.55949	-1	-1
0	0	1.87467	-5.84401	-1	-1
0	0	-8.69242	-4.17507	26808	15
0	0	2.31567	-7.01604	-1	-1
0	0	-1.42165	-3.7551	-1	-1
0	0	6.90183	8.79932	27808	14
0	0	-5.82573	5.41498	-1	-1
0	0	4.60636	2.16868	-1	-1
0	0	-0.733457	-7.59298	50224	4
0	0	8.46284	0.919875	41744	6
0	0	-2.50328	-2.75995	39528	13
0	0	-5.55412	-6.35245	-1	-1
0	0	-9.47455	-8.64992	-1	-1
0	0	-8.55769	-3.25558	52184	3
0	0	-8.9138	-9.00949	-1	-1
0	0	-8.61603	5.47969	17376	0
0	0	-0.308461	6.31725	-1	-1
0	0	7.86089	-9.13064	-1	-1
0	0	0.85987	2.93227	18040	0
0	0	7.28929	-3.12331	-1	-1
0	0	-3.48579	-0.439973	-1	-1
0	0	-1.24871	9.7202	13680	19
0	0	-8.7585	0.967018	-1	-1
0	0	-3.13738	2.55158	-1	-1
0	0	8.79859	-8.77832	12120	6
0	0	0.255467	-9.89439	-1	-1
0	0	-0.176891	-5.76984	-1	-1
0	0	6.47442	-2.55183	47200	2
0	0	-6.85541	1.88784	-1	-1
0	0	-5.90975	-7.62316	-1	-1
0	0	-2.10398	-6.57446	29216	17
0	0	-5.53972	-9.3924	16040	4
0	0	-8.06375	6.69944	-1	-1
0	0	5.45231	-9.86382	7824	10
0	0	-3.21828	-2.35491	-1	-1
0	0	-7.92734	-8.49396	-1	-1
0	0	0.189583	-1.00786	448	0
0	0	7.36188	-5.45733	51632	5
0	0	7.63171	-1.89141	-1	-1
0	0	-5.50829	5.97215	-1	-1
0	0	-9.6532	1.64994	37800	11
0	0	8.53631	-9.276	11848	13
0	0	-9.15123	-3.11783	7688	9
0	0	7.85987	-4.10636	10568	16
0	0	-1.44083	2.98644	-1	-1
0	0	-1.77721	-9.73983	-1	-1
0	0	-7.73293	8.2308	-1	-1
0	0	4.27115	0.16215	20136	9
0	0	-2.32474	4.38764	25176	19
0	0	-4.01019	-5.96076	-1	-1
0	0	-4.23554	1.14906	42600	4
0	0	6.1198	-6.63703	-1	-1
0	0	-1.16465	-3.04183	8336	0
0	0	5.41895	1.88519	-1	-1
0	0	-9.70971	4.8846	7040	4
0	0	4.00895	-2.23295	-1	-1
0	0	-4.92765	3.23208	-1	-1
0	0	-3.69693	-5.50367	26560	19
0	0	9.03692	-8.49978	31632	9
0	0	-8.74628	-3.89227	-1	-1
0	0	-2.77319	-1.42301	44736	8
0	0	-1.21133	-2.79592	-1	-1
0	0	4.24549	-6.53932	-1	-1
0	0	5.06965	2.98479	-1	-1
0	0	6.77715	7.65131	-1	-1
0	0	-2.37489	-8.17339	25600	4
0	0	0.415083	8.51948	50064	14
0	0	9.69186	3.97307	-1	-1
0	0	-9.60766	-3.56521	5240	5
0	0	-5.51955	-6.17986	-1	-1
0	0	-7.50051	-3.89314	9432	9
0	0	0.328634	-3.02711	20720	4
0	0	5.47866	3.17236	-1	-1
0	0	-1.95771	2.95281	-1	-1
0	0	2.46244	8.24578	16632	16
0	0	-8.21697	8.80111	-1	-1
0	0	5.63411	8.92632	20096	4
