Pile ID	Distribution Type	X-Position	Y-Position	Collection Time	Ant ID
0	0	-7.35633	4.10892	32008	15
0	0	-8.41288	-7.53509	-1	-1
0	0	6.38314	-9.05995	30240	14
0	0	-6.73223	-6.28396	49112	0
0	0	9.47155	-4.12966	33240	7
0	0	-0.916961	7.76423	-1	-1
0	0	3.20521	6.65195	-1	-1
0	0	7.10841	1.51238	-1	-1
0	0	5.7821	4.52377	-1	-1
0	0	7.52454	-6.03364	-1	-1
0	0	7.41364	-5.35111	27712	17
0	0	4.21056	3.25531	-1	-1
0	0	-6.89534	6.89912	-1	-1
0	0	-9.31685	0.646507	13648	1
0	0	-9.31804	-6.07045	-1	-1
0	0	-2.90605	-6.38402	-1	-1
0	0	4.28067	1.43139	-1	-1
0	0	-7.30925	5.50514	6280	5
0	0	2.67704	-7.77975	-1	-1
0	0	7.51433	-1.91031	-1	-1
0	0	-8.80817	-4.91008	-1	-1
0	0	2.56977	0.252823	536	9
0	0	7.65947	5.91499	32912	0
0	0	5.45702	4.41171	-1	-1
0	0	5.38414	-8.53881	-1	-1
0	0	-2.29077	-1.94556	-1	-1
0	0	-6.51277	8.26764	-1	-1
0	0	8.94224	-7.39236	51456	9
0	0	6.60057	0.856804	1336	2
0	0	6.68718	-2.47692	-1	-1
0	0	-5.86916	-3.92367	10328	8
0	0	-0.484334	-8.83955	7232	4
0	0	-9.0242	-4.50338	-1	-1
0	0	-8.76105	1.3266	52072	16
0	0	4.74429	-8.52871	30256	18
0	0	9.37674	-3.18844	8744	17
0	0	-0.432272	8.44025	-1	-1
0	0	-0.716974	5.38635	1048	16
0	0	2.63693	-7.97932	25632	12
0	0	-0.733462	-7.91926	-1	-1
0	0	-7.88399	3.65094	39720	16
0	0	6.9508	-8.43002	-1	-1
0	0	-3.19575	-9.89336	46512	7
0	0	-6.16703	-6.758	-1	-1
0	0	2.06284	-0.373275	8288	3
0	0	4.02801	1.32568	-1	-1
0	0	-7.47799	9.10649	-1	-1
0	0	4.60676	-8.59713	-1	-1
0	0	-8.72469	-5.21553	43576	9
0	0	2.31339	-6.94979	-1	-1
0	0	-2.74255	4.68206	-1	-1
0	0	9.37904	0.201471	46312	11
0	0	-3.6055	8.12508	16224	15
0	0	-4.81851	-8.55317	-1	-1
0	0	-1.44251	8.78953	-1	-1
0	0	9.08981	3.22292	5496	13
0	0	-7.41218	1.90214	-1	-1
0	0	0.82485	9.64753	12144	5
0	0	-6.85153	5.35233	-1	-1
0	0	4.97752	-5.59941	26232	6
0	0	-6.37994	-4.5788	36528	5
0	0	9.60892	5.1362	27272	9
0	0	4.10353	-3.04681	27368	10
0	0	-7.30818	-1.98109	46248	0
0	0	2.34167	6.43406	-1	-1
0	0	7.04236	0.968269	-1	-1
0	0	3.71422	7.93579	-1	-1
0	0	-8.80674	7.00146	6904	15
0	0	4.42479	6.70388	-1	-1
0	0	-6.16549	-1.21616	-1	-1
0	0	-0.586038	9.03123	-1	-1
0	0	5.96181	-9.13279	33240	16
0	0	-6.65536	9.08051	16464	5
0	0	-8.71587	-6.28943	7832	3
0	0	5.17919	-6.9136	32040	10
0	0	-7.62476	-0.251734	-1	-1
0	0	-8.50871	-6.73911	-1	-1
0	0	-7.75468	-2.7728	45008	14
0	0	-0.0505978	2.64486	632	8
0	0	7.55952	-4.50653	51848	14
0	0	7.50322	0.474297	-1	-1
0	0	9.52234	-0.624444	-1	-1
0	0	8.32185	-9.36432	24560	10
0	0	2.82157	-6.47851	22832	8
0	0	-1.4222	-9.11109	42664	8
0	0	0.000863047	1.60344	5872	16
0	0	8.93581	3.93263	34936	0
0	0	2.05761	-6.82114	-1	-1
0	0	-0.878764	2.33483	28008	12
0	0	1.33447	-2.49844	12080	12
0	0	-9.80092	4.07963	-1	-1
0	0	-4.79241	-3.5879	44800	9
0	0	5.26348	-8.11875	-1	-1
0	0	6.51731	-9.78428	40304	7
0	0	-3.66705	-8.64225	56376	4
0	0	8.94393	-4.87655	35560	4
0	0	7.63306	-8.23754	22504	14
0	0	4.26345	-3.67882	-1	-1
0	0	3.06186	-4.06872	20992	1
0	0	1.46086	-1.06798	-1	-1
0	0	-6.33342	-4.21801	-1	-1
0	0	3.34924	8.63059	-1	-1
0	0	-9.07829	-0.487494	-1	-1
0	0	-4.00616	6.47247	-1	-1
0	0	1.02729	-2.55293	-1	-1
